country,Period,Age (x),Age interval (n),nmx,nqx,npx,lx,ndx,nLx,nSx,Tx,e0x,nax
Eritrea,2095-2100,40,5,0.00131295,0.00654451,0.99345549,98201.827,642.683,489494.811,0.9922147,4294063.349,43.7269,2.6437
Eritrea,2095-2100,45,5,0.00185665,0.00924304,0.99075696,97559.144,901.743,485683.948,0.98849393,3804568.539,38.9976,2.6581
Eritrea,2095-2100,50,5,0.00285716,0.01419144,0.98580856,96657.401,1371.708,480095.637,0.98233636,3318884.59,34.3366,2.6734
Eritrea,2095-2100,55,5,0.00439218,0.02173904,0.97826096,95285.693,2071.419,471615.4,0.97253678,2838788.954,29.7924,2.6764
Eritrea,2095-2100,60,5,0.00696335,0.03426333,0.96573667,93214.274,3193.831,458663.322,0.95646091,2367173.553,25.395,2.6805
Eritrea,2095-2100,65,5,0.01120011,0.05458109,0.94541891,90020.443,4913.414,438693.54,0.93032357,1908510.232,21.2009,2.6781
Eritrea,2095-2100,70,5,0.01830783,0.08779436,0.91220564,85107.029,7471.917,408126.94,0.88768078,1469816.692,17.2702,2.6702
Eritrea,2095-2100,75,5,0.03044364,0.14206612,0.85793388,77635.112,11029.319,362286.439,0.81812709,1061689.752,13.6754,2.6527
Eritrea,2095-2100,80,5,0.05166217,0.22989711,0.77010289,66605.793,15312.479,296396.35,0.71404899,699403.313,10.5006,2.6077
Eritrea,2095-2100,85,5,0.08556535,0.35305148,0.64694852,51293.314,18109.18,211641.515,0.57827713,403006.962,7.8569,2.5247
Eritrea,2095-2100,90,5,0.13687914,0.50482827,0.49517173,33184.134,16752.289,122387.448,0.42490907,191365.447,5.7668,2.4014
Eritrea,2095-2100,95,5,0.20947086,0.66293381,0.33706619,16431.845,10893.226,52003.537,0.246085172,68978,4.1978,2.2317
Eritrea,2095-2100,100,-1,0.326296212,...,...,5538.619,5538.619,16974.463,...,16974.463,3.0647,3.0647
Ethiopia,2095-2100,0,1,0.00384997,0.00383614,0.99616386,100000,383.614,99640.853,0.9953582,8313566.685,83.1357,0.0638
Ethiopia,2095-2100,1,4,0.0004322,0.00172693,0.99827307,99616.386,172.03,398038.246,0.99859272,8213925.832,82.4556,1.5162
Ethiopia,2095-2100,5,5,0.00019562,0.00097764,0.99902236,99444.355,97.22,496978.726,0.99904075,7815887.586,78.5956,2.5
Ethiopia,2095-2100,10,5,0.00018826,0.00094084,0.99905916,99347.135,93.47,496502,0.99890045,7318908.86,73.6701,2.5
Ethiopia,2095-2100,15,5,0.00026694,0.00133389,0.99866611,99253.665,132.393,495956.073,0.99841707,6822406.86,68.7371,2.6415
Ethiopia,2095-2100,20,5,0.00037224,0.00185959,0.99814041,99121.272,184.324,495171.008,0.99779369,6326450.787,63.8254,2.6381
Ethiopia,2095-2100,25,5,0.00051995,0.00259657,0.99740343,98936.948,256.897,494078.509,0.99691352,5831279.779,58.9394,2.6402
Ethiopia,2095-2100,30,5,0.00073335,0.00366047,0.99633953,98680.051,361.215,492553.543,0.99545391,5337201.27,54.0859,2.6559
